datetime,S,K,sigma,T_years,combo_exec,legs_exec_mean,legging_extra_mean,legging_extra_p50,legging_extra_p90,legging_extra_p99,total_cost_legs_mean,total_extra_mean,total_extra_p90,total_extra_p99
2021-09-01,451.8,452.0,0.1284597868368034,0.0821917808219178,13.280487995864936,13.282004118508443,0.001516122643508319,0.0013296565995810639,0.011012612488897842,0.018630570261690283,1328.2004118508446,0.15161226435083192,1.1012612488897842,1.8630570261690285
2021-10-01,434.24,434.0,0.1837522908015896,0.07671232876712329,17.62939367459451,17.631409193224542,0.0020155186300318314,0.0017650987179020916,0.01475861503740887,0.024981631252684613,1763.140919322454,0.20155186300318315,1.475861503740887,2.4981631252684613
2021-10-29,459.25,459.0,0.1402188768682805,0.07671232876712329,14.228819957423136,14.230447154153385,0.0016271967302496518,0.0014246291007813383,0.011935576180900397,0.020205344260337797,1423.0447154153387,0.1627196730249652,1.1935576180900396,2.0205344260337794
2021-11-01,460.04,460.0,0.1341100332631318,0.0821917808219178,14.112697376374207,14.114306185481095,0.0016088091068868948,0.0014129565293208302,0.011581693610117403,0.019581914924757405,1411.4306185481096,0.16088091068868948,1.1581693610117403,1.9581914924757406
2021-12-01,450.5,450.0,0.2411268528916975,0.0821917808219178,24.835134919191766,24.837958120172658,0.002823200980890011,0.0024864074541195436,0.01996733106329742,0.033720661654189805,2483.7958120172657,0.28232009808900105,1.996733106329742,3.3720661654189805
2021-12-31,474.96,475.0,0.1705015722258922,0.07671232876712329,17.896995156653265,17.89904420646278,0.0020490498095151574,0.00179191918201127,0.015135794047717607,0.025634359124477077,1789.9044206462781,0.20490498095151574,1.5135794047717608,2.5634359124477077
2022-01-03,477.71,478.0,0.1650495548255392,0.0821917808219178,18.042776582685242,18.044835464665507,0.0020588819802649567,0.0018064534593573711,0.01491413654876794,0.025226490915609884,1804.4835464665505,0.20588819802649566,1.491413654876794,2.5226490915609885
2022-02-01,452.95,453.0,0.2066848560813779,0.0821917808219178,21.414986035339766,21.417425773777424,0.0024397384376580906,0.0021440440162923124,0.017495565648079744,0.029573377140991883,2141.7425773777422,0.24397384376580908,1.7495565648079745,2.9573377140991886
2022-03-01,429.98,430.0,0.2896305487634514,0.0821917808219178,28.482343828662867,28.48558458335718,0.0032407546943141992,0.0028515809793727698,0.023053367269757527,0.038947266362069986,2848.558458335718,0.3240754694314199,2.3053367269757525,3.894726636206999
2022-03-31,451.64,452.0,0.2165717260139416,0.07945205479452055,22.007606574349346,22.01012159876857,0.0025150244192277843,0.0022034479964663234,0.01837754827710398,0.031102619383893523,2201.0121598768574,0.25150244192277843,1.837754827710398,3.110261938389352
2022-04-01,452.92,453.0,0.2097998606944234,0.07671232876712329,21.000132145080496,21.00253545623735,0.0024033111568535557,0.002102608177409593,0.017706954797582594,0.029984027788394117,2100.2535456237347,0.24033111568535556,1.7706954797582595,2.998402778839412
2022-04-29,412.0,412.0,0.3008525299024084,0.07671232876712329,27.38680222588755,27.389931565321486,0.0031293394339335545,0.00274201863700263,0.022837692351608038,0.038648591133803,2738.9931565321485,0.31293394339335545,2.2837692351608037,3.8648591133803003
2022-05-02,414.48,414.0,0.295088989981543,0.0821917808219178,27.958504554546373,27.961681190583835,0.0031766360374611284,0.0027990931660077933,0.022393924185277567,0.03781045350379314,2796.1681190583836,0.3176636037461128,2.2393924185277565,3.781045350379314
2022-06-01,409.59,410.0,0.2830514286030502,0.0821917808219178,26.530383748451438,26.533405979698554,0.0030222312471136236,0.0026561891337841814,0.02165984229627717,0.036610973830593696,2653.340597969855,0.30222312471136237,2.165984229627717,3.6610973830593694
2022-07-01,381.24,381.0,0.2843184062409727,0.07671232876712329,23.943325183248472,23.946059555358616,0.0027343721101462963,0.00239723710958728,0.019887959586198885,0.033649386407113464,2394.6059555358615,0.2734372110146296,1.9887959586198887,3.364938640711346
2022-07-29,411.99,412.0,0.2041865844323229,0.07671232876712329,18.58991439789636,18.59204150149441,0.002127103598046954,0.0018612850495909328,0.015655095261922367,0.026507701531594055,1859.204150149441,0.2127103598046954,1.5655095261922367,2.6507701531594057
2022-08-01,410.77,411.0,0.2133553055100004,0.0821917808219178,20.052655769330702,20.054941654193875,0.002285884863174913,0.0020076617459086066,0.016453115460345554,0.027818029712521897,2005.4941654193876,0.2285884863174913,1.6453115460345555,2.7818029712521897
