datetime,S,sigma,K,expiry,T_years,contracts,shares,opt_price_straddle,opt_value,delta_opt,gamma_opt,vega_1pct_opt,theta_day_opt,cash,equity
2021-05-05,415.75,0.15329665182164562,418.0,2021-06-02,0.07671232876712329,1.0,-3.04350462176704,14.235351641382834,1423.5351641382836,-8.433061442667084,4.494772669516083,91.36294360927226,-25.01005956405581,99493.62977606355,99651.8278937022
2021-05-06,419.07,0.14964205352515794,418.0,2021-06-02,0.07397260273972603,1.0,-3.04350462176704,13.617159902048172,1361.7159902048172,6.6279432584644695,4.661895234579509,90.62754439936116,-25.114244166412647,99493.62977606355,99579.90428442445
2021-05-07,422.12,0.13944457458593404,418.0,2021-06-02,0.07123287671232877,1.0,-3.04350462176704,12.903522732518013,1290.3522732518013,22.217081961652486,4.880626630745787,86.38325197607286,-23.164761198371203,99493.62977606355,99499.25787837505
2021-05-10,417.94,0.16037790719215061,418.0,2021-06-02,0.06301369863013699,1.0,-3.04350462176704,13.425195933006108,1342.5195933006107,1.321536517411026,4.741377333894061,83.69738889281942,-29.18089580016941,99493.62977606355,99564.14704774285
2021-05-11,414.21,0.17547635060860875,418.0,2021-06-02,0.06027397260273973,1.0,-3.04350462176704,14.620285321456379,1462.0285321456379,-15.060023482237412,4.391435471703266,79.68857757856881,-31.780592678814223,99493.62977606355,99695.00825882706
2021-05-12,405.41,0.2194498118367654,418.0,2021-06-02,0.057534246575342465,1.0,-3.04350462176704,20.12691959716625,2012.691959716625,-42.08861363095833,3.205808777219373,66.52550356640317,-34.75954580950773,99493.62977606355,100272.4545270696
2021-05-13,410.28,0.19328079105153417,418.0,2021-06-02,0.0547945205479452,1.0,-3.04350462176704,16.19983179035978,1619.983179035978,-30.30234025991405,3.9845113275240887,71.03323358165463,-34.32339894402652,99493.62977606355,99864.92387888095
2021-05-14,416.58,0.17167025815757156,418.0,2021-06-02,0.052054794520547946,1.0,-3.04350462176704,13.089121040510122,1308.9121040510122,-5.3655036154303115,4.8790219411553055,75.66332096897823,-34.181952220536026,99493.62977606355,99534.67872477885
2021-05-17,415.52,0.17681076142873514,418.0,2021-06-02,0.043835616438356165,1.0,-3.04350462176704,12.46769311242997,1246.769311242997,-11.310819670806938,5.1349073535632215,68.71511686633302,-37.967412921252695,99493.62977606355,99475.7620468699
2021-05-18,411.94,0.18690843354872005,418.0,2021-06-02,0.0410958904109589,1.0,-3.04350462176704,13.464915065022893,1346.4915065022892,-28.599008276940708,4.779848323068296,62.303054226304496,-38.81655423579845,99493.62977606355,99586.37998867512
2021-05-19,410.86,0.19030839378043712,418.0,2021-06-02,0.038356164383561646,1.0,-3.04350462176704,13.617238756422012,1361.7238756422012,-34.26826344244957,4.722113054015831,58.185828040219114,-39.54732669685293,99493.62977606355,99604.89934280654
2021-05-20,415.28,0.1819048975842376,418.0,2021-06-02,0.03561643835616438,1.0,-3.04350462176704,11.617380089949222,1161.7380089949222,-13.735188905812468,5.513534453451855,61.60372939468548,-43.100077255182114,99493.62977606355,99391.46118573107
2021-05-21,414.94,0.17665769017661148,418.0,2021-06-02,0.03287671232876712,1.0,-3.04350462176704,10.922204530117227,1092.2204530117228,-16.89601888267111,5.868028047789623,58.6791366599992,-43.19216976630492,99493.62977606355,99322.97842131925
2021-05-24,419.17,0.1680065191697754,418.0,2021-06-02,0.024657534246575342,1.0,-3.04350462176704,8.860136935661245,886.0136935661245,9.483629791446052,7.164181871463025,52.146212088086465,-48.67168656004596,99493.62977606355,99103.8976373236
2021-05-25,418.24,0.1707465149523005,418.0,2021-06-02,0.021917808219178082,1.0,-3.04350462176704,8.435130139922165,843.5130139922165,2.819634109335106,7.542108778715847,49.37338401116116,-52.68958282067126,99493.62977606355,99064.22741704792
2021-05-26,419.07,0.1619253065855445,418.0,2021-06-02,0.019178082191780823,1.0,-3.04350462176704,7.536855893453577,753.6855893453577,9.965061703697508,8.424250925334333,45.9435280449316,-53.13871331640794,99493.62977606355,98971.873883565
2021-05-27,419.29,0.15747605903138595,418.0,2021-06-02,0.01643835616438356,1.0,-3.04350462176704,6.822459534312117,682.2459534312117,12.925424625741483,9.30106887764037,42.328686629607034,-55.54795628670862,99493.62977606355,98899.76467663405
2021-05-28,420.04,0.156804845129039,418.0,2021-06-02,0.0136986301369863,1.0,-3.04350462176704,6.350364040343095,635.0364040343095,21.626307571514182,9.967699360466089,37.775728460807365,-59.2341725093353,99493.62977606355,98850.27249877084
2021-06-01,419.67,0.16360070507773433,420.0,2021-07-01,0.0821917808219178,1.0,-3.04350462176704,15.712280755777783,1571.2280755777783,0.5340122421100657,4.053433414906081,95.995849109505,-26.174980998084692,98239.04188298024,98533.00237394104
2021-06-02,420.33,0.1602904983789631,420.0,2021-07-01,0.07945205479452055,1.0,-3.04350462176704,15.147778346693315,1514.7778346693315,3.188622119396922,4.197999108612642,94.45740937523423,-26.10452624886557,98239.04188298024,98474.54341998223
2021-06-03,418.77,0.1639837933713019,420.0,2021-07-01,0.07671232876712329,1.0,-3.04350462176704,15.228362044833574,1522.8362044833575,-3.3393610044884836,4.191315948481452,92.46292316514021,-27.075751583605207,98239.04188298024,98487.34965700621
2021-06-04,422.6,0.15461908151473908,420.0,2021-07-01,0.07397260273972603,1.0,-3.04350462176704,14.286985550748653,1428.6985550748655,13.324270800199583,4.426896758043335,90.42580171887597,-25.891767420382443,98239.04188298024,98381.55538489635
