datetime,close,hv,vix,sigma_proxy
2021-06-25,426.61,0.09762823368094455,15.62,0.13277129347237782
2021-06-28,427.47,0.09765993719496296,15.76,0.13362397487798516
2021-06-29,427.7,0.09745081407991696,16.02,0.13510032563196678
2021-06-30,428.06,0.09742328863225867,15.83,0.13394931545290345
2021-07-01,430.43,0.09712014464048178,15.48,0.1317280578561927
2021-07-02,433.72,0.09568051957052154,15.07,0.12869220782820862
2021-07-06,432.93,0.09599600442559773,16.44,0.1370384017702391
2021-07-07,434.46,0.09623914897984541,16.2,0.13569565959193816
2021-07-08,430.92,0.10169940435414564,19.0,0.15467976174165826
2021-07-09,435.52,0.10656770948044557,16.18,0.13970708379217822
2021-07-12,437.08,0.10684967648468321,16.17,0.1397598705938733
2021-07-13,435.59,0.10819542035197967,17.12,0.14599816814079186
2021-07-14,436.24,0.10760014308317178,16.33,0.14102005723326871
2021-07-15,434.75,0.10599623845780723,17.01,0.14445849538312291
2021-07-16,431.34,0.11096669839619398,18.45,0.15508667935847759
2021-07-19,424.97,0.10688541624134308,22.5,0.17775416649653725
2021-07-20,431.06,0.10690837520630497,19.73,0.161143350082522
2021-07-21,434.55,0.10873379085082367,17.91,0.15095351634032947
2021-07-22,435.46,0.10834146935296077,17.69,0.1494765877411843
2021-07-23,439.94,0.11171853102888796,17.2,0.14788741241155517
2021-07-26,441.02,0.11154820484745093,17.58,0.15009928193898037
2021-07-27,439.01,0.11369803637751723,19.36,0.16163921455100688
2021-07-28,438.83,0.11383555642976625,18.31,0.1553942225719065
2021-07-29,440.65,0.11426624529727336,17.7,0.15190649811890933
2021-07-30,438.51,0.11530241945155215,18.24,0.15556096778062084
2021-08-02,437.59,0.11296546833370902,19.46,0.1619461873334836
2021-08-03,441.15,0.11578247292013415,18.04,0.15455298916805366
2021-08-04,438.98,0.11716051703200477,17.97,0.1546842068128019
2021-08-05,441.76,0.11414504850819339,17.28,0.14933801940327737
2021-08-06,442.49,0.10868310723771178,16.15,0.1403732428950847
2021-08-09,442.13,0.10830927346121674,16.72,0.1436437093844867
2021-08-10,442.68,0.10729108642124272,16.79,0.14365643456849708
2021-08-11,443.78,0.10743236613774157,16.06,0.1393329464550966
2021-08-12,445.11,0.10645266422483947,15.59,0.1361210656899358
2021-08-13,445.92,0.10093829181245129,15.45,0.13307531672498052
2021-08-16,446.97,0.07980889975955562,16.12,0.12864355990382226
2021-08-17,444.04,0.07323707122602756,17.91,0.13675482849041104
2021-08-18,439.18,0.08134389349915935,21.57,0.16195755739966375
2021-08-19,439.86,0.08122804693116074,21.67,0.1625112187724643
2021-08-20,443.36,0.07790304765956436,18.56,0.14252121906382573
2021-08-23,447.26,0.08315845934653873,17.15,0.13616338373861547
2021-08-24,447.97,0.08082165551103757,17.22,0.13564866220441502
